customerID,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,service_adoption_score,tenure_bins,gender_Female,gender_Male,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
9763-GRSKD,0,1,1,-0.791320501614164,1,1,-0.4935610235167579,-0.7481801026295299,0,2,3,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
7469-LKBCI,0,0,0,-0.6690886177852331,1,0,-1.5240147679735105,-0.8633301769033557,0,1,3,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False
8091-TTVAX,0,1,0,1.0421577558197987,1,0,1.181757322309704,1.49923169181824,0,5,2,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False
0280-XJGEX,0,0,0,0.6754621043330061,1,1,1.2931128075977727,1.2146654163139583,1,6,2,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False
5129-JLPIS,0,0,0,-0.3023929662984406,1,1,1.3529456056630036,0.17787355982548955,0,6,3,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False
3655-SNQYZ,0,1,1,1.4903413298592119,1,0,1.6105590417771916,2.4760219770375893,0,8,2,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False
8191-XWSZG,0,0,0,0.797693988161937,1,0,-1.4675060142452372,-0.5562633121731538,0,1,2,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True
9959-WOFKT,0,0,1,1.5718292524118322,1,0,1.3928341377064908,2.249692520706277,0,6,2,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False
4190-MFLUW,0,1,1,-0.9135523854430948,1,0,-0.3190486958265014,-0.7742101960477511,1,3,1,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False
4183-MYFRB,0,0,0,-0.46536881140368175,1,1,0.8393807556031058,-0.18566537198153096,0,4,3,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False
8779-QRDMV,1,0,0,-1.2802480369298874,0,1,-0.8359375902233565,-0.9899511398021601,1,2,1,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False
1680-VDCWW,0,1,0,-0.8320644628904743,1,0,-1.495760391109374,-0.9180374918840237,0,1,1,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False
1066-JKSGK,0,0,0,-1.2802480369298874,1,0,-1.4841262359300234,-0.9983337122588753,1,1,1,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True
3638-WEABW,0,1,0,1.0421577558197987,1,1,-0.16281861198951006,0.5392065515123218,0,4,2,True,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False
6322-HRPFA,0,1,1,0.6754621043330061,1,0,-0.17279074500038175,0.3031709586521811,0,4,2,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False
6865-JZNKO,0,0,0,-0.09867315991688919,1,1,-0.3157246514895444,-0.3321397959620295,0,3,3,True,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False
6467-CHFZW,0,1,1,0.5939741817803856,1,1,1.1485168789401314,1.0880444534151539,1,5,3,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False
8665-UTDHZ,0,1,1,-1.2802480369298874,0,0,-1.150059780065818,-0.9939218320184989,1,1,1,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
5248-YGIJN,0,1,0,1.6125732136881425,1,1,0.8460288442770204,1.8027690523561406,0,8,2,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False
8773-HHUOZ,0,0,1,-0.6283446565089229,1,1,-0.0032644838155611237,-0.524938962466481,1,3,3,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True
3841-NFECX,1,1,0,1.5718292524118322,1,1,1.0487955488314133,1.9779206978990864,0,6,2,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False
4929-XIHVW,1,1,0,-1.2395040756535771,1,1,1.0205411719672768,-0.9273024403888144,0,4,1,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False
6827-IEAUQ,0,1,1,-0.22090504374582004,1,0,0.044934159070319335,-0.18037111569307923,0,5,3,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True
7310-EGVHZ,0,0,0,-1.2802480369298874,1,0,-1.4824642137615447,-0.9983337122588753,0,1,1,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False
3413-BMNZE,1,0,0,-1.2802480369298874,1,0,-0.6497911073537496,-0.9873040116579342,0,1,1,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False
6234-RAAPL,0,1,1,1.6125732136881425,1,0,1.1667991227933967,2.191896889557345,0,6,2,True,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False
6047-YHPVI,0,0,0,-1.1172721918246462,1,1,0.1629377330323022,-0.8677420571437321,1,1,1,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
6572-ADKRS,0,0,0,0.5532302205040753,1,1,0.3324639942171226,0.5581776365459407,0,2,3,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
5380-WJKOV,0,0,0,0.06430268518835193,1,1,1.3811999825271402,0.5586188245699782,1,6,3,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False
8168-UQWWF,0,0,0,-0.8728084241667845,1,1,1.0986562138857725,-0.5196447061780292,1,5,1,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False
8865-TNMNX,0,1,1,-0.9135523854430948,1,0,-0.5068572008645872,-0.7975931613217463,0,2,1,False,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True
9489-DEDVP,0,1,1,1.5310852911355222,1,1,0.14631751134751586,1.1423105803717843,0,5,2,True,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False
9867-JCZSP,0,1,1,-0.6283446565089229,1,0,-1.4641819699082799,-0.8227408786918922,0,1,3,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True
4671-VJLCL,0,0,0,1.24587756220135,1,1,0.5003282332334644,1.1374575121073702,0,7,2,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False
4080-IIARD,0,1,0,-0.791320501614164,1,1,0.3790006149345245,-0.5743520211586973,0,6,3,True,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False
3714-NTNFO,0,0,0,0.6754621043330061,1,1,0.6548962949019775,0.7161229491514179,0,3,2,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False
5948-UJZLF,0,0,0,-1.2395040756535771,1,0,-0.5168293338754589,-0.9643622344079766,0,2,1,False,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
7760-OYPDY,0,0,0,-1.2395040756535771,1,1,0.526920587929123,-0.9436263972782073,1,2,1,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False
7639-LIAYI,0,0,0,0.797693988161937,1,1,0.4970041888965074,0.853332424627126,0,6,2,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False
2954-PIBKO,0,1,1,1.4903413298592119,1,1,-0.021546727668825993,0.8696563815165189,0,5,2,True,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False
8012-SOUDQ,1,0,0,0.4309983366751445,1,1,0.8460288442770204,0.6861221635168581,0,4,3,True,False,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False
9420-LOJKX,0,0,0,-0.7098325790615434,1,1,1.1402067680977384,-0.37802335046194474,1,5,3,True,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False
6575-SUVOI,1,1,0,-0.3023929662984406,1,1,0.15628964435838757,-0.23419605462567206,0,5,3,True,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False
7495-OOKFY,1,1,0,-0.9950403079957154,1,1,0.526920587929123,-0.7278854535237982,1,3,1,True,False,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
4667-QONEA,1,1,1,1.1236456783724194,1,1,0.33412601638560113,0.9587763623721234,0,6,2,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False
1658-BYGOY,1,0,0,-0.5876006952326126,1,1,1.0188791497987983,-0.23419605462567206,1,4,3,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False
8769-KKTPH,0,1,1,1.24587756220135,1,1,1.1584890119510036,1.7771801469619573,0,5,2,True,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False
5067-XJQFU,1,1,1,1.368109446030281,1,1,1.451004913603243,2.1146889853507567,0,7,2,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
3957-SQXML,0,1,1,0.06430268518835193,1,0,-1.3245721077560746,-0.6127353792499726,0,2,3,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False
5954-BDFSG,0,0,0,1.6125732136881425,1,1,1.419426492402149,2.457492080028008,0,6,2,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False
0434-CSFON,0,1,0,0.5939741817803856,1,1,1.1867433888151402,1.0695145564055726,0,5,3,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False
1215-FIGMP,0,0,0,1.1236456783724194,1,1,0.8343946890976701,1.3973172582655438,0,4,2,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False
0526-SXDJP,0,1,0,1.6125732136881425,0,0,-0.7544985039679034,0.2996414544598799,0,3,2,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False
0557-ASKVU,0,1,1,-0.5876006952326126,1,1,-0.3456410505221597,-0.5849405337356008,0,3,3,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False
5698-BQJOH,0,0,0,-0.9542963467194051,1,0,0.9839766842607471,-0.6290593361393655,1,4,1,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False
5122-CYFXA,0,0,0,-1.1987601143772668,1,1,0.3490842159019089,-0.8995075948744427,0,5,1,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False
8627-ZYGSZ,0,1,0,0.5939741817803856,1,1,0.4687498120323708,0.6031788149977805,0,3,3,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
3410-YOQBQ,0,0,0,-0.05792919864057891,1,0,0.4787219450432425,0.0944890232823744,0,6,3,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True
3170-NMYVV,0,1,1,0.7162060656093164,1,0,-1.4841262359300234,-0.5968526103846173,0,1,2,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False
7410-OIEDU,0,0,0,-0.9135523854430948,1,1,0.5003282332334644,-0.6158236954182361,0,3,1,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
2273-QCKXA,0,0,0,-1.2802480369298874,1,0,-0.5234774225493735,-0.9855392595617837,0,2,1,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True
0731-EBJQB,0,1,1,0.797693988161937,1,1,-1.4758161250876303,-0.5262625265385938,0,1,2,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False
1891-QRQSA,1,1,1,1.2866215234776603,1,1,1.5557123102173966,2.1248363099036225,0,7,2,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False
8028-PNXHQ,0,1,1,1.2051336009250397,1,1,-1.3478404181147754,-0.37890572651002,0,2,2,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False
5630-AHZIL,0,0,1,-1.1987601143772668,1,1,-0.009912572489475751,-0.9290671924849649,0,4,1,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False
2673-CXQEU,1,0,0,0.9606698332671781,1,0,1.5191478225108668,1.7012958068274822,0,7,2,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False
6416-JNVRK,0,0,0,0.5532302205040753,1,0,-0.30409049631019386,0.17875593587356484,0,2,3,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
5590-ZSKRV,0,1,1,-0.9950403079957154,1,0,-0.3373309396797665,-0.7945048451534829,0,3,1,True,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
0191-ZHSKZ,1,0,0,-0.09867315991688919,1,1,0.33080197204864403,-0.07580955399615706,0,5,3,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False
3887-PBQAO,0,1,1,0.512486259227765,1,1,-1.2929936865549807,-0.47067283550985045,0,2,3,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False
5919-TMRGD,0,0,1,-1.2802480369298874,1,1,0.48370801154867815,-0.9723036188406543,1,2,1,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False
8108-UXRQN,0,1,1,-0.8728084241667845,0,0,-0.47361675749501453,-0.7578862391583582,0,3,1,True,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False
9191-MYQKX,0,1,0,-1.0357842692720256,1,1,0.3440981493964733,-0.7883282128169558,1,2,1,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False
9919-YLNNG,0,0,0,0.3902543753988342,1,1,1.2964368519347298,0.9018631072712671,0,6,3,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False
0318-ZOPWS,0,1,0,0.6754621043330061,1,1,-1.4841262359300234,-0.5778815253509985,0,1,2,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False
4445-ZJNMU,0,0,0,-0.9542963467194051,1,1,1.1468548567716528,-0.602146866673069,0,5,1,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False
4808-YNLEU,0,1,0,0.10504664646466222,1,1,-0.08802761440797156,-0.029925999496241848,0,3,3,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False
1862-QRWPE,0,1,1,0.6347181430566958,1,0,-1.4675060142452372,-0.5408217313318362,0,1,3,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False
2796-NNUFI,0,1,1,0.5532302205040753,1,1,-1.4907743246039378,-0.5981761744567302,0,1,3,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True
3016-KSVCP,0,1,0,-0.13941712119319946,0,0,-1.0320562061038352,-0.5619987564856432,0,1,3,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True
4767-HZZHQ,0,1,1,-0.09867315991688919,1,0,0.5734572086465244,0.12669574903712258,0,3,3,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False
2424-WVHPL,1,0,0,-1.2802480369298874,1,0,0.32913994988016554,-0.9745095589608425,0,2,1,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False
7233-PAHHL,0,1,1,1.368109446030281,1,1,0.6382760732171912,1.5137908966114824,0,7,2,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True
6067-NGCEU,0,0,0,1.3273654847539706,1,1,1.5374300663641316,2.1283658140959236,0,7,2,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False
9848-JQJTX,0,0,0,1.6125732136881425,1,1,1.2000395661629695,2.2836639985571754,0,6,2,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False
8637-XJIVR,0,0,0,-0.8320644628904743,1,1,0.47041183420084937,-0.5981761744567302,1,3,1,True,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
9803-FTJCG,0,1,1,1.5718292524118322,1,1,0.06820246942901982,1.087603265391116,0,5,2,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False
0278-YXOOG,0,0,0,-1.1172721918246462,1,0,-1.4542098368974081,-0.9573032260233743,1,1,1,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True
3212-KXOCR,0,0,0,0.797693988161937,1,0,-1.4558718590658866,-0.5187623301299539,0,1,2,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False
4598-XLKNJ,1,1,0,-0.3023929662984406,1,1,1.1202625020759949,0.10198921969101438,1,5,3,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False
6380-ARCEH,0,0,0,-1.2802480369298874,1,0,-1.4824642137615447,-0.9983337122588753,0,1,1,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True
3679-XASPY,0,1,1,-1.2802480369298874,1,0,-1.5073945462887242,-0.998774900282913,0,1,1,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False
7123-WQUHX,0,0,0,0.22727853029359305,1,0,1.0039209502824906,0.5833253539160864,0,5,3,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,False
5386-THSLQ,1,1,0,1.368109446030281,0,0,-0.6398189743428778,0.3283186760223269,0,3,2,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False
3192-NQECA,0,1,0,1.4495973685829016,1,1,1.5025276008260804,2.3507245782108974,1,7,2,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False
6180-YBIQI,0,0,0,-1.1172721918246462,0,0,-1.346178395946297,-0.9630386703358637,0,0,1,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
6728-DKUCO,0,1,1,1.6125732136881425,1,1,1.3080710071140806,2.2148386668073026,0,6,2,True,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False
9750-BOOHV,0,0,0,-0.01718523736426863,0,0,-1.1517218022342968,-0.5981761744567302,0,1,3,True,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True
8597-CWYHH,0,0,0,0.4309983366751445,1,0,0.9823146620922681,0.7227407695119826,0,4,3,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
